5) ETL.Sp_FPDSdelta_FixCodeNameMismatch start
2025-12-04 05:24:41.360

sam_exception









recipient_duns	recipient_uei	recipient_parent_duns	recipient_parent_uei	contract_transaction_unique_key



























productorservicecode	product_or_service_code_description	minofsignedyear	maxofsignedyear	minoflast_modified_year	maxoflast_modified_year	PlatformPortfolio	ProductServiceOrRnDarea	RnD_budgetActivity
AA13	R&D-INSECT & DIS CONT-ADV DEV	2003	2009	2007	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AA13	AGRICULTURE R&D SERVICES; AGRICULTURAL RESEARCH AND SERVICES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AA14	R&D-INSECT & DIS CONT-ENG DEV	2002	2009	2003	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AA14	AGRICULTURE R&D SERVICES; AGRICULTURAL RESEARCH AND SERVICES; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AA15	R&D-INSECT & DIS CONT-OPSY DEV	2004	2009	2008	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AA15	AGRICULTURE R&D SVCS; AGRICULTURAL RESEARCH & SVCS; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AB13	R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ADVANCED DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AB13	R&D-CRIME PREVENT & CONT-ADV DEV	2001	2009	2006	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AB13	COMMUNITY AND REGIONAL DEVELOPMENT R&D SERVICES; COMMUNITY DEVELOPMENT; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AB14	R&D-CRIME PREVENT & CONT-ENG DEV	2001	2009	2006	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AB14	COMMUNITY AND REGIONAL DEVELOPMENT R&D SERVICES; COMMUNITY DEVELOPMENT; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AB15	R&D-CRIME PREVENT & CONT-OPSY DEV	2002	2009	2006	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AB15	R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2021	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AB15	COMMUNITY & REGIONAL DEVELOPMENT R&D SVCS; COMMUNITY DEVELOPMENT; R&D FACILITIES & MAJ EQUIP	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AB23	R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ADVANCED DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AB23	R&D-FIRE PREVENT & CONT-ADV DEV	2002	2009	2003	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AB23	COMMUNITY & REGIONAL DEVELOPMENT R&D SVCS; AREA & REGIONAL DEVELOPMENT; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AB24	R&D-FIRE PREVENT & CONT-ENG DEV	2003	2009	2007	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AB24	R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ENGINEERING DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
